id,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00036,minsim,c1_078,c4_078,bridge_c1_c4,bridge_c1_c4,1,0,0,0.0073,256,1,42,2000
q00036,graph_ppr,c1_078,c4_078,bridge_c1_c4,c1_062,0,0,0,3.3507,256,1,42,2000
q00036,topogps,c1_078,c4_078,bridge_c1_c4,bridge_c1_c4,1,6,120,7.3664,256,1,42,2000
q00036,topogps_cuepath,c1_078,c4_078,bridge_c1_c4,bridge_c1_c4,1,6,0,1.0027,256,1,42,2000
q00036,topogps_no_cue,c1_078,c4_078,bridge_c1_c4,c1_078,0,214,120,7.2832,256,1,42,2000
q00037,nn,c3_016,c0_016,bridge_c0_c3,c3_016,0,0,0,0.0052,256,1,42,2000
q00037,minsim,c3_016,c0_016,bridge_c0_c3,bridge_c0_c3,1,0,0,0.0073,256,1,42,2000
q00037,graph_ppr,c3_016,c0_016,bridge_c0_c3,c0_010,0,0,0,3.3371,256,1,42,2000
q00037,topogps,c3_016,c0_016,bridge_c0_c3,c3_031,0,6,120,7.3239,256,1,42,2000
q00037,topogps_cuepath,c3_016,c0_016,bridge_c0_c3,bridge_c0_c3,1,6,0,1.0221,256,1,42,2000
q00037,topogps_no_cue,c3_016,c0_016,bridge_c0_c3,c3_016,0,208,120,7.3939,256,1,42,2000
q00038,nn,c2_092,c1_092,bridge_c1_c2,c2_092,0,0,0,0.0051,256,1,42,2000
q00038,minsim,c2_092,c1_092,bridge_c1_c2,bridge_c1_c2,1,0,0,0.0076,256,1,42,2000
q00038,graph_ppr,c2_092,c1_092,bridge_c1_c2,c2_089,0,0,0,3.3909,256,1,42,2000
q00038,topogps,c2_092,c1_092,bridge_c1_c2,c2_094,0,7,120,7.3098,256,1,42,2000
q00038,topogps_cuepath,c2_092,c1_092,bridge_c1_c2,bridge_c1_c2,1,7,0,1.0221,256,1,42,2000
q00038,topogps_no_cue,c2_092,c1_092,bridge_c1_c2,c2_092,0,278,120,7.6027,256,1,42,2000
q00039,nn,c2_114,c4_114,bridge_c2_c4,c2_114,0,0,0,0.005,256,1,42,2000
q00039,minsim,c2_114,c4_114,bridge_c2_c4,bridge_c2_c4,1,0,0,0.0073,256,1,42,2000
q00039,graph_ppr,c2_114,c4_114,bridge_c2_c4,c4_078,0,0,0,3.324,256,1,42,2000
q00039,topogps,c2_114,c4_114,bridge_c2_c4,bridge_c2_c4,1,6,120,7.27,256,1,42,2000
q00039,topogps_cuepath,c2_114,c4_114,bridge_c2_c4,bridge_c2_c4,1,6,0,0.9771,256,1,42,2000
